loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,loan_status
16000,16000,16000.0, 36 months,18.85,585.29,D,D3,Fully Paid
14000,14000,14000.0, 36 months,12.42,467.82,B,B4,Fully Paid
7200,7200,7200.0, 36 months,8.99,228.93,B,B1,Fully Paid
19200,19200,19200.0, 36 months,16.99,684.44,D,D1,Fully Paid
6000,6000,6000.0, 36 months,12.12,199.63,B,B3,Fully Paid
20000,20000,20000.0, 36 months,24.08,785.5,F,F2,Fully Paid
35000,35000,35000.0, 60 months,18.49,898.13,D,D5,Fully Paid
8000,8000,8000.0, 36 months,6.68,245.85,A,A3,Fully Paid
25500,25500,25500.0, 36 months,12.59,854.17,C,C2,Fully Paid
21925,21925,21925.0, 36 months,8.9,696.19,A,A5,Fully Paid
14850,14850,14825.0, 36 months,11.55,490.05,B,B3,Fully Paid
28000,28000,28000.0, 60 months,21.49,765.24,D,D5,Fully Paid
18000,18000,18000.0, 36 months,11.44,593.06,B,B4,Fully Paid
4000,4000,4000.0, 36 months,11.49,131.89,B,B5,Fully Paid
17125,17125,17125.0, 60 months,17.57,430.87,D,D4,Fully Paid
3500,3500,3500.0, 36 months,6.92,107.95,A,A4,Fully Paid
10800,10800,10800.0, 36 months,18.2,391.54,E,E1,Fully Paid
5600,5600,5600.0, 36 months,12.99,188.66,C,C2,Fully Paid
19125,19125,19025.0, 60 months,15.8,463.06,C,C3,Fully Paid
6450,6450,6450.0, 36 months,14.46,221.89,C,C4,Fully Paid
8125,8125,8125.0, 60 months,17.56,204.39,D,D1,Fully Paid
3000,3000,3000.0, 36 months,18.49,109.2,D,D2,Fully Paid
10000,10000,10000.0, 36 months,10.78,326.35,B,B4,Fully Paid
25000,25000,25000.0, 60 months,13.65,577.18,C,C1,Fully Paid
5000,5000,5000.0, 36 months,8.39,157.59,B,B1,Fully Paid
5550,5550,5550.0, 36 months,17.57,199.46,D,D4,Fully Paid
10000,10000,10000.0, 36 months,18.49,363.99,D,D2,Fully Paid
5000,5000,5000.0, 36 months,11.14,164.03,B,B2,Fully Paid
35000,35000,35000.0, 60 months,18.99,907.73,D,D3,Fully Paid
28000,28000,28000.0, 60 months,8.67,576.76,B,B1,Fully Paid
14400,14400,14400.0, 60 months,26.3,433.71,E,E5,Fully Paid
10000,10000,9975.0, 36 months,15.31,348.18,C,C2,Fully Paid
4900,4900,4900.0, 36 months,8.39,154.44,B,B1,Fully Paid
20000,20000,19975.0, 36 months,12.12,665.44,B,B3,Fully Paid
7800,7800,7800.0, 36 months,13.33,264.06,C,C3,Fully Paid
17100,17100,17100.0, 36 months,9.44,547.29,B,B1,Fully Paid
8000,8000,8000.0, 36 months,6.03,243.49,A,A1,Fully Paid
8000,8000,8000.0, 36 months,11.48,263.74,B,B5,Fully Paid
10000,10000,10000.0, 36 months,7.26,309.97,A,A4,Fully Paid
10000,10000,9925.0, 36 months,13.11,337.47,B,B4,Fully Paid
9000,9000,9000.0, 36 months,6.03,273.92,A,A1,Fully Paid
27075,27075,27075.0, 36 months,18.84,990.28,E,E2,Fully Paid
5150,5150,5150.0, 36 months,7.89,161.13,A,A5,Fully Paid
17000,17000,17000.0, 60 months,21.49,464.61,E,E3,Fully Paid
10000,10000,10000.0, 36 months,8.18,314.2,B,B1,Fully Paid
10625,10625,10625.0, 60 months,23.4,301.98,E,E5,Fully Paid
9000,9000,9000.0, 36 months,11.67,297.52,B,B4,Fully Paid
32000,32000,32000.0, 60 months,9.44,671.13,B,B1,Fully Paid
5600,5600,5600.0, 36 months,8.9,177.82,A,A5,Fully Paid
10000,10000,10000.0, 36 months,6.03,304.36,A,A1,Fully Paid
29975,29975,29975.0, 60 months,11.99,666.63,B,B5,Fully Paid
5000,5000,5000.0, 36 months,10.99,163.67,B,B3,Fully Paid
3000,3000,3000.0, 36 months,12.79,100.78,C,C1,Fully Paid
5500,5500,5500.0, 36 months,12.62,184.32,C,C1,Fully Paid
3000,3000,3000.0, 36 months,8.59,94.83,A,A5,Fully Paid
10000,10000,10000.0, 36 months,7.12,309.32,A,A3,Fully Paid
17675,17675,17675.0, 60 months,15.05,420.96,C,C4,Fully Paid
7000,7000,7000.0, 36 months,11.53,230.94,B,B5,Fully Paid
2500,2500,2500.0, 36 months,11.99,83.03,C,C1,Fully Paid
10000,10000,10000.0, 36 months,9.17,318.79,B,B1,Fully Paid
36750,36750,36750.0, 60 months,10.99,798.86,B,B4,Fully Paid
5400,5400,5400.0, 36 months,13.44,183.1,C,C3,Fully Paid
8000,8000,8000.0, 36 months,11.44,263.58,B,B4,Fully Paid
12000,12000,12000.0, 60 months,10.99,260.85,B,B4,Fully Paid
8000,8000,8000.0, 36 months,12.99,269.52,C,C2,Fully Paid
3500,3500,3500.0, 36 months,11.49,115.4,B,B5,Fully Paid
8000,8000,8000.0, 36 months,7.24,247.9,A,A3,Fully Paid
30000,30000,30000.0, 60 months,21.45,819.22,D,D5,Fully Paid
6000,6000,6000.0, 36 months,6.24,183.19,A,A2,Fully Paid
7600,7600,7600.0, 36 months,12.79,255.31,C,C1,Fully Paid
10000,10000,10000.0, 36 months,11.14,328.06,B,B2,Fully Paid
28000,28000,28000.0, 36 months,9.44,896.14,B,B1,Fully Paid
28000,28000,28000.0, 36 months,13.49,950.06,C,C2,Fully Paid
16000,16000,16000.0, 36 months,10.99,523.75,B,B4,Fully Paid
12000,12000,12000.0, 60 months,26.77,364.78,E,E5,Fully Paid
16000,16000,16000.0, 36 months,12.49,535.19,B,B5,Fully Paid
25000,25000,25000.0, 60 months,10.99,543.44,B,B4,Fully Paid
14125,14125,14125.0, 36 months,20.49,528.47,E,E1,Fully Paid
12400,12400,12178.91, 36 months,11.26,407.51,B,B2,Fully Paid
12500,12500,12500.0, 36 months,6.03,380.45,A,A1,Fully Paid
35000,35000,34950.0, 36 months,15.31,1218.61,C,C2,Fully Paid
20000,20000,20000.0, 36 months,11.47,659.24,B,B5,Fully Paid
3000,3000,3000.0, 36 months,11.39,98.78,B,B3,Fully Paid
6300,6300,6300.0, 36 months,12.49,210.73,B,B4,Fully Paid
2800,2800,2800.0, 36 months,8.18,87.98,B,B1,Fully Paid
30000,30000,30000.0, 36 months,9.67,963.38,B,B1,Fully Paid
9000,9000,9000.0, 36 months,13.99,307.56,C,C4,Fully Paid
2000,2000,2000.0, 36 months,17.09,71.4,D,D1,Fully Paid
6000,6000,6000.0, 36 months,7.49,186.61,A,A4,Fully Paid
6500,6500,6500.0, 36 months,11.99,215.87,C,C1,Fully Paid
12000,12000,12000.0, 60 months,22.74,336.5,E,E1,Fully Paid
30000,30000,30000.0, 60 months,22.45,836.27,F,F1,Fully Paid
3000,3000,3000.0, 36 months,15.8,105.18,C,C3,Fully Paid
9000,9000,9000.0, 36 months,6.49,275.81,A,A2,Fully Paid
5000,5000,5000.0, 36 months,12.69,167.73,C,C2,Fully Paid
14000,14000,14000.0, 60 months,20.99,378.67,E,E4,Fully Paid
8500,8500,8500.0, 36 months,12.74,285.34,C,C1,Fully Paid
20000,20000,20000.0, 36 months,13.67,680.36,C,C3,Fully Paid
24750,24750,24750.0, 36 months,10.75,807.36,B,B4,Fully Paid
20500,20500,20500.0, 60 months,27.88,636.81,G,G3,Fully Paid
8000,8000,8000.0, 36 months,9.8,257.39,B,B3,Fully Paid
12400,12400,12400.0, 36 months,8.9,393.74,A,A5,Fully Paid
20200,20200,20200.0, 36 months,17.99,730.18,D,D2,Fully Paid
3500,3500,3500.0, 36 months,10.91,114.44,B,B4,Fully Paid
26400,26400,26400.0, 60 months,7.89,533.91,A,A5,Fully Paid
3150,3150,3150.0, 36 months,14.64,108.65,C,C3,Fully Paid
12000,12000,12000.0, 36 months,10.99,392.81,B,B4,Fully Paid
32000,32000,32000.0, 60 months,22.35,890.19,D,D5,Fully Paid
6000,6000,6000.0, 36 months,18.25,217.67,D,D3,Fully Paid
5000,5000,5000.0, 36 months,13.33,169.27,C,C3,Fully Paid
20000,20000,19950.0, 36 months,10.99,654.68,B,B3,Fully Paid
12000,12000,12000.0, 36 months,7.49,373.22,A,A4,Fully Paid
30000,30000,30000.0, 60 months,13.59,691.69,C,C2,Fully Paid
3225,3225,3225.0, 36 months,13.67,109.71,B,B5,Fully Paid
11500,11500,11500.0, 60 months,19.99,304.62,E,E1,Fully Paid
16800,16800,16800.0, 36 months,9.17,535.57,B,B2,Fully Paid
12000,12000,12000.0, 36 months,16.99,427.78,D,D3,Fully Paid
24000,24000,23975.0, 60 months,17.27,599.96,C,C5,Fully Paid
1000,1000,1000.0, 36 months,6.97,30.87,A,A3,Fully Paid
10000,10000,10000.0, 36 months,14.16,342.56,C,C2,Fully Paid
9000,9000,9000.0, 36 months,9.49,288.26,B,B2,Fully Paid
20000,20000,20000.0, 60 months,16.29,489.45,D,D1,Fully Paid
6000,6000,6000.0, 36 months,18.94,219.76,D,D2,Fully Paid
5000,5000,5000.0, 36 months,6.71,153.73,A,A3,Fully Paid
12800,12800,12800.0, 36 months,6.62,393.01,A,A2,Fully Paid
8300,8300,8300.0, 36 months,7.91,259.75,A,A5,Fully Paid
15000,15000,15000.0, 36 months,6.39,458.99,A,A2,Fully Paid
14000,14000,13975.0, 36 months,20.5,523.87,E,E2,Fully Paid
20000,20000,20000.0, 36 months,8.38,630.24,B,B1,Fully Paid
8000,8000,8000.0, 36 months,12.29,266.83,C,C1,Fully Paid
7200,7200,7200.0, 36 months,11.67,238.01,B,B4,Fully Paid
2800,2800,2800.0, 36 months,15.61,97.91,D,D1,Fully Paid
9000,9000,9000.0, 36 months,7.69,280.75,A,A4,Fully Paid
10000,10000,10000.0, 60 months,14.3,234.25,C,C1,Fully Paid
10000,10000,10000.0, 36 months,8.99,317.96,B,B1,Fully Paid
10000,10000,10000.0, 36 months,15.31,348.18,C,C2,Fully Paid
16375,16375,16325.0, 36 months,13.99,559.58,C,C3,Fully Paid
5000,5000,5000.0, 36 months,9.17,159.4,B,B2,Fully Paid
24000,24000,24000.0, 36 months,12.69,805.08,C,C2,Fully Paid
15000,15000,14950.0, 36 months,11.14,492.08,B,B2,Fully Paid
5600,5600,5600.0, 36 months,8.9,177.82,A,A5,Fully Paid
35000,35000,35000.0, 36 months,7.39,1086.96,A,A4,Fully Paid
2000,2000,2000.0, 36 months,14.46,68.81,C,C4,Fully Paid
7000,7000,7000.0, 36 months,8.99,222.57,B,B1,Fully Paid
6000,6000,6000.0, 36 months,18.25,217.67,D,D2,Fully Paid
9000,9000,9000.0, 36 months,12.12,299.45,B,B3,Fully Paid
5000,5000,5000.0, 36 months,19.05,183.41,D,D4,Fully Paid
8000,8000,8000.0, 36 months,14.48,275.29,C,C5,Fully Paid
30500,30500,30500.0, 60 months,24.85,892.54,E,E3,Fully Paid
6000,6000,6000.0, 36 months,11.53,197.95,B,B5,Fully Paid
5000,5000,5000.0, 36 months,21.45,189.54,D,D5,Fully Paid
10000,10000,10000.0, 36 months,9.17,318.79,B,B1,Fully Paid
10000,10000,9950.0, 36 months,15.41,348.67,D,D1,Fully Paid
28000,28000,28000.0, 36 months,7.39,869.57,A,A4,Fully Paid
20000,20000,20000.0, 36 months,6.24,610.62,A,A2,Fully Paid
16750,16750,16750.0, 60 months,25.57,497.25,F,F5,Fully Paid
6000,6000,6000.0, 36 months,7.91,187.77,A,A5,Fully Paid
9000,9000,9000.0, 36 months,12.74,302.12,C,C1,Fully Paid
14000,14000,14000.0, 36 months,6.03,426.1,A,A1,Fully Paid
17925,17925,17925.0, 36 months,12.69,601.3,C,C2,Fully Paid
3000,3000,3000.0, 36 months,10.75,97.87,B,B4,Fully Paid
19075,19075,19075.0, 60 months,16.29,466.82,C,C4,Fully Paid
12000,12000,12000.0, 60 months,19.72,316.06,D,D5,Fully Paid
24000,24000,23975.0, 36 months,14.65,827.87,C,C5,Fully Paid
6000,6000,5975.0, 36 months,16.99,213.89,D,D3,Fully Paid
15000,15000,15000.0, 36 months,9.99,483.94,B,B3,Fully Paid
3000,3000,3000.0, 36 months,7.39,93.17,A,A4,Fully Paid
25000,25000,25000.0, 60 months,11.44,549.07,B,B4,Fully Paid
35000,35000,35000.0, 36 months,16.02,1230.85,C,C5,Fully Paid
15725,15725,15725.0, 36 months,18.25,570.48,D,D3,Fully Paid
35000,35000,35000.0, 36 months,12.74,1174.91,C,C1,Fully Paid
24000,24000,24000.0, 36 months,11.49,791.32,B,B5,Fully Paid
4000,4000,4000.0, 36 months,13.67,136.08,B,B5,Fully Paid
6400,6400,6400.0, 36 months,11.67,211.57,B,B4,Fully Paid
18000,18000,18000.0, 36 months,16.99,641.66,D,D3,Fully Paid
5000,5000,5000.0, 36 months,9.93,161.18,B,B2,Fully Paid
11000,11000,11000.0, 36 months,12.59,368.47,C,C2,Fully Paid
6000,6000,6000.0, 36 months,9.49,192.17,B,B2,Fully Paid
10000,10000,10000.0, 36 months,13.35,338.63,C,C2,Fully Paid
29850,29850,29850.0, 36 months,13.98,1019.92,C,C3,Fully Paid
26400,26400,26400.0, 60 months,13.99,614.15,C,C4,Fully Paid
8000,8000,8000.0, 36 months,11.99,265.68,B,B5,Fully Paid
7775,7775,7775.0, 36 months,17.86,280.54,D,D5,Fully Paid
6000,6000,6000.0, 36 months,21.85,228.68,D,D5,Fully Paid
10000,10000,10000.0, 36 months,9.17,318.79,B,B2,Fully Paid
10000,10000,10000.0, 36 months,9.99,322.63,B,B3,Fully Paid
12000,12000,12000.0, 60 months,16.02,291.95,C,C5,Fully Paid
25000,25000,25000.0, 36 months,9.75,803.75,B,B3,Fully Paid
7200,7200,7200.0, 36 months,10.49,233.99,B,B3,Fully Paid
15000,15000,15000.0, 60 months,13.59,345.85,C,C2,Fully Paid
15000,15000,15000.0, 36 months,13.67,510.27,C,C4,Fully Paid
35000,35000,35000.0, 60 months,12.74,791.71,C,C1,Fully Paid
16000,16000,16000.0, 60 months,9.49,335.96,B,B2,Fully Paid
20000,20000,19875.0, 36 months,8.9,635.07,A,A5,Fully Paid
5000,5000,5000.0, 36 months,8.59,158.05,A,A5,Fully Paid
4200,4200,4200.0, 36 months,18.45,152.79,D,D2,Fully Paid
28000,28000,28000.0, 60 months,21.0,757.5,E,E2,Fully Paid
5000,5000,5000.0, 36 months,6.97,154.32,A,A3,Fully Paid
19125,19125,19125.0, 36 months,13.11,645.42,B,B4,Fully Paid
35000,35000,35000.0, 36 months,7.59,1090.17,A,A3,Fully Paid
11750,11750,11750.0, 36 months,11.53,387.64,B,B5,Fully Paid
9450,9450,9450.0, 36 months,10.99,309.34,B,B3,Fully Paid
12000,12000,12000.0, 60 months,16.14,292.72,C,C4,Fully Paid
22000,22000,22000.0, 60 months,18.99,570.58,E,E1,Fully Paid
5000,5000,5000.0, 36 months,12.69,167.73,C,C2,Fully Paid
7500,7500,7400.0, 36 months,13.33,253.9,C,C3,Fully Paid
35000,35000,35000.0, 36 months,13.33,1184.86,C,C3,Fully Paid
11725,11725,11725.0, 36 months,13.35,397.05,C,C2,Fully Paid
30000,30000,30000.0, 36 months,7.49,933.05,A,A4,Fully Paid
25000,25000,24773.13927974012, 36 months,12.18,832.5,B,B4,Fully Paid
12800,12800,12800.0, 60 months,15.05,304.85,C,C4,Fully Paid
9650,9650,9650.0, 36 months,30.89,414.38,G,G3,Fully Paid
12000,12000,12000.0, 36 months,5.32,361.38,A,A1,Fully Paid
10000,10000,10000.0, 36 months,19.05,366.82,D,D4,Fully Paid
35000,35000,35000.0, 60 months,13.35,802.65,C,C2,Fully Paid
2000,2000,2000.0, 36 months,13.99,68.35,C,C3,Fully Paid
6500,6500,6500.0, 36 months,7.49,202.17,A,A4,Fully Paid
15000,15000,15000.0, 36 months,8.18,471.3,B,B1,Fully Paid
25000,25000,25000.0, 36 months,10.99,818.35,B,B2,Fully Paid
9450,9450,9450.0, 36 months,17.86,340.98,D,D5,Fully Paid
15000,15000,15000.0, 36 months,13.35,507.95,C,C2,Fully Paid
8400,8400,8400.0, 36 months,14.09,287.46,B,B5,Fully Paid
20825,20825,20825.0, 36 months,11.49,686.63,B,B5,Fully Paid
28000,28000,28000.0, 60 months,8.67,576.76,B,B1,Fully Paid
3500,3500,3500.0, 36 months,10.47,113.71,B,B2,Fully Paid
10000,10000,10000.0, 36 months,17.77,360.38,D,D1,Fully Paid
3825,3825,3775.0, 36 months,14.65,131.95,C,C3,Fully Paid
4800,4800,4800.0, 36 months,13.59,163.1,C,C2,Fully Paid
30000,30000,30000.0, 60 months,9.93,636.38,B,B2,Fully Paid
11625,11625,11625.0, 36 months,10.16,375.98,B,B1,Fully Paid
28000,28000,28000.0, 60 months,13.99,651.37,C,C3,Fully Paid
24925,24925,24925.0, 36 months,7.9,779.91,A,A4,Fully Paid
8000,8000,8000.0, 36 months,9.17,255.04,B,B2,Fully Paid
3000,3000,3000.0, 36 months,17.27,107.37,D,D2,Fully Paid
5000,5000,5000.0, 36 months,14.84,172.94,D,D1,Fully Paid
12000,12000,12000.0, 36 months,11.39,395.09,B,B3,Fully Paid
6500,6500,6500.0, 36 months,9.16,207.19,B,B2,Fully Paid
20000,20000,20000.0, 36 months,11.44,658.95,B,B4,Fully Paid
6000,6000,6000.0, 36 months,7.39,186.34,A,A4,Fully Paid
20000,20000,20000.0, 36 months,11.47,659.24,B,B5,Fully Paid
10975,10975,10975.0, 36 months,11.53,362.07,B,B5,Fully Paid
16000,16000,16000.0, 60 months,12.88,363.07,C,C2,Fully Paid
7650,7650,7625.0, 36 months,13.33,258.98,C,C3,Fully Paid
6400,6400,6400.0, 36 months,10.75,208.78,B,B4,Fully Paid
17800,17800,17800.0, 60 months,21.99,491.52,F,F1,Fully Paid
10600,10600,10600.0, 36 months,14.33,363.99,C,C1,Fully Paid
5200,5200,5200.0, 36 months,11.99,172.69,C,C1,Fully Paid
35000,35000,35000.0, 60 months,12.99,796.18,C,C2,Fully Paid
20000,20000,20000.0, 36 months,9.49,640.57,B,B2,Fully Paid
20000,20000,20000.0, 36 months,6.11,609.44,A,A1,Fully Paid
18000,18000,18000.0, 36 months,7.35,558.68,A,A4,Fully Paid
22000,22000,21925.0, 60 months,19.99,582.75,E,E4,Fully Paid
4000,4000,4000.0, 36 months,6.24,122.13,A,A2,Fully Paid
14000,14000,14000.0, 36 months,12.35,467.35,B,B4,Fully Paid
15000,15000,15000.0, 36 months,13.33,507.8,C,C3,Fully Paid
10000,10000,10000.0, 36 months,10.74,326.16,B,B2,Fully Paid
